Type,parent,name,description,
,,MDII,,
Megagroup,MDII,Innovation Usage,,
Megagroup,MDII,Social Consequences,,
Megagroup,MDII,Stakeholder Relationships,,
Dimension,Social Consequences,Beneficial Impact,Evaluates the positive impacts of digital innovations on underrepresented communities.,
Sub-dimension,Beneficial Impact,Solution Effectiveness,"Measures the overall performance and impact of digital solutions in achieving their intended outcomes for underrepresented communities. Evaluates whether the solutions deliver the desired results, such as improved engagement, usability, or access.",
Item,Solution Effectiveness,Solution Performance,Assesses the core effectiveness of digital solutions in addressing the specific issues or needs of marginalized users.,
Item,Solution Effectiveness,Functionality,"Evaluates the digital innovation solutions in terms of features, capabilities, and reliability (functional capabilities).",
Item,Solution Effectiveness,Problem-Solution Fit,Assesses how well digital solutions are specifically tailored to address the identified needs and challenges of underrepresented communities and remain aligned with these needs as conditions and feedback evolve.,
Item,Solution Effectiveness,Adaptive Capability,"Evaluates the ability of digital innovation solutions to adapt to changing conditions and feedback, ensuring long-term digital inclusion amidst changing conditions and user feedback.",
Sub-dimension,Beneficial Impact,Problem Relevance,"Assesses how well digital solutions are designed to address the most critical challenges faced by underrepresented communities, ensuring a focus on genuine, high-priority issues.",
Item,Problem Relevance,Problem Identification Accuracy,Evaluates the precision and clarity in identifying the problems or needs that the digital innovation solutions aim to address.,
Item,Problem Relevance,Relevance to Target Group,Assesses how well the identified problems or needs align directly with the specific priorities and circumstances of the targeted underrepresented communities.,
Item,Problem Relevance,Severity Assessment,Evaluates the severity or urgency of the identified problems or needs.,
Item,Problem Relevance,Engagement in Problem Definition,Assesses the extent of stakeholder engagement in defining the problems or needs.,
Item,Problem Relevance,Local Contextual Understanding,Evaluates the depth of understanding and consideration of the local context and conditions in identifying the problems or needs.,
Sub-dimension,Beneficial Impact,Sustainability,"Measures the long-term viability and maintainability of digital innovations for nderrepresented communities. Sustainable solutions ensure continuous benefits and daptability to evolving needs, promoting lasting digital engagement.",
Item,Sustainability,Long-term Viability,"Assesses the potential of digital solutions to remain economically viable, functional, and relevant over time, ensuring sustained digital inclusion for underrepresented communities.",
Item,Sustainability,Maintainability,Evaluates the presence of established procedures and support systems that facilitate the maintenance and updating of digital solutions to ensure ongoing effectiveness and usability for underrepresented communities.,
Item,Sustainability,Scalability,"Assesses the ability of digital solutions to scale and remain economically sustainable, accommodating increasing demand and expanding to new user groups to enhance digital inclusion for underrepresented communities.",
Item,Sustainability,Economic Sustainability,"Evaluates how the digital tool is designed for cost-effectiveness and long-term financial sustainability, supported by scalable and sustainable financial models. This ensures the tool maintains its benefits for underrepresented communities over time.",
Sub-dimension,Beneficial Impact,Social Value Creation,Assesses the social benefits and value generated by digital engagement for underrepresented communities. Creating social value is essential for fostering a more inclusive digital ecosystem and enhancing communal well-being.,
Item,Social Value Creation,Community Impact,Evaluates the positive outcomes of digital innovation solutions on the communities they target.,
Item,Social Value Creation,Individual Empowerment,"Assesses how the digital tool helps individuals overcome barriers and achieve personal goals, particularly those from marginalized groups. This allows individuals to actively participate in and benefit from the digital landscape.",
Item,Social Value Creation,Social Equity,"Assesses how the digital tool contributes to reducing social inequities within the community, both in the short or long term.",
Item,Social Value Creation,Cultural Sensitivity,Evaluates how the digital tool respects and reflects cultural diversity to ensure inclusiveness and the avoid cultural prejudices.,
